NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN
2478	sail (n.)	sail (n.)	piece of fabric attached to a boat and arranged such that it causes the wind to drive the boat along		Artifacts
2479	sailor	sailor	member of the crew of a vessel; a mariner; a common seaman		N/a
2480	saint	saint			N/a
2481	Saint Demetrius	Saint Demetrius	Demetrius of Thessaloniki. His feast day is 26 October for Eastern Orthodox Christians, which falls on 8 November [NS] for those following the old calendar. In the Roman Catholic church he is most commonly called &#34;Demetrius of Sermium&#34; and his memorial falls on 8 October.		N/a
2482	Saint George’s Day	Saint George’s Day	the feast day of Saint George, celebrated by Christian churches, countries, and cities of which he is the patron saint		N/a
2483	Saint Nicholas	Saint Nicholas	a 4th-century Greek bishop from Myra, Anatolia, patron saint of children, mariners and the unwed among others, functioning in multiple countries as a gift-giving figure around his feast day of December 6.		N/a
2484	Saint-John's-wort (Hypericum)	Saint-John&#39;s-wort (Hypericum)			Plants
2485	salad	salad	food made primarily of a mixture of raw or cold ingredients, typically vegetables, usually served with a dressing such as vinegar or mayonnaise		N/a
2486	salary	salary			N/a
2487	salsify	salsify	Tragopogon, a genus of flowering plants in the family Asteraceae		N/a
2488	salt	salt	common substance, chemically consisting mainly of sodium chloride (NaCl), used extensively as a condiment and preservative		Natural objects
2489	salty	salty			Taste
2490	Samhain	Samhain	holiday, falling on the night of October 31 to November 1, celebrated by the ancient Celts and by modern neo-pagans as the beginning of winter and the new year, and a time during which the spirits of the dead could return to the earth		N/a
2491	Samsara	Samsara	In Jainism, Hinduism, Buddhism, the ongoing cycle of birth, death, and rebirth endured by human beings and all other mortal beings, and from which release is obtained by achieving the highest enlightenment		N/a
2492	sand	sand	rock that is ground more finely than gravel, but is not as fine as silt, forming beaches and deserts and also used in construction		Natural objects
2493	sap (of a plant)	sap (of a plant)			Natural objects
2494	sapling	sapling			Natural objects
2495	sapwood, alburnum	sapwood, alburnum	the wood just under the bark of a stem or branch, different in color from the heartwood		N/a
2496	sarcastic	sarcastic			Non-physical
2497	sated with food	sated with food	None		N/a
2498	satellite of a planet	satellite of a planet			N/a
2499	sati (Hindu practice)	sati (Hindu practice)			N/a
2500	satintails (Imperata)	satintails (Imperata)	widespread genus of tropical and subtropical grasses		N/a
2501	saturated (of colour)	saturated (of colour)			Light and Colour
2502	saturated (with something)	saturated (with something)			Other physical
2503	Saturday	Saturday			Time
2504	Saturn	Saturn			Natural objects
2505	sausage	sausage			Artifacts
2506	saw	saw			Artifacts
2507	sawdust	sawdust			Artifacts
2508	scale insect	scale insect			N/a
2509	scale, squama	scale, squama	rigid plates which grows out of the skin of various animals (Wikipedia)		N/a
2510	scales,  weighing machine	scales,  weighing machine			N/a
2511	scandal	scandal			Abstract entities
2512	scanty, not numerous	scanty, not numerous			Quantity
2513	scanty, scarce	scanty, scarce	somewhat less than is needed in amplitude or extent		N/a
2514	scar	scar			Physiology
2515	scarf	scarf			Artifacts
2516	scarlet fever	scarlet fever			Abstract entities
2517	scarlet pimpernel (Anagallis arvensis)	scarlet pimpernel (Anagallis arvensis)			N/a
2518	scatterbrain	scatterbrain			N/a
2519	scissors	scissors			N/a
2520	scorpion	scorpion			Animals
2521	Scorpius	Scorpius	constellation of the zodiac, roughly shaped like a scorpion. Its brightest star is the red giant Antares		N/a
2522	scoundrel	scoundrel			N/a
2523	screen (in cinema)	screen (in cinema)	viewing surface or area of a movie, or moving picture or slide presentation		N/a
2524	screen, cover	screen, cover			N/a
2525	screw, screw-bolt	screw, screw-bolt			Artifacts
2526	scrotum	scrotum			Body parts
2527	scythe	scythe	instrument for mowing grass, grain, etc. by hand, composed of a long, curving blade with a sharp concave edge, fastened to a long handle		N/a
2528	sea	sea			Natural objects
2529	seagull	seagull			Animals
2530	seahorse (Hippocampus)	seahorse (Hippocampus)			N/a
2531	seal (animal)	seal (animal)			Animals
2532	seal, stamp	seal, stamp			N/a
2533	season (of the year)	season (of the year)			N/a
2534	seasonal flooding	seasonal flooding			N/a
2535	seat, chair	seat, chair			Artifacts
2536	second (measure of time)	second (measure of time)			Time
2537	second (num.)	second (num.)			Abstract entities
2538	second wife	second wife	second wife		N/a
2539	secret	secret			Non-physical
2540	secret (n)	secret (n)			Abstract entities
2541	secret; covert	secret; covert			Non-physical
2542	sediment	sediment			Natural objects
2543	seesaw	seesaw	structure composed of a plank, balanced in the middle, used as a game in which one person goes up as the other goes down		N/a
2544	self	self			N/a
2545	sense of smell	sense of smell			Abstract entities
2546	sense, perception	sense, perception			Abstract entities
2547	sensitive	sensitive			N/a
2548	sensitive (instrument)	sensitive (instrument)			N/a
2549	sensitive (person)	sensitive (person)			N/a
2550	sensitive, keen (of hearing)	sensitive, keen (of hearing)			N/a
2551	sentence (by a court)	sentence (by a court)			N/a
2552	separate (adj.)	separate (adj.)			Non-physical
2553	separately	separately			Abstract relations
2554	September	September			N/a
2555	servant	servant			Human being
2556	service, good turn	service, good turn			Abstract entities
2557	seven	seven			N/a
2558	seventy	seventy			N/a
2559	several	several	a quanitity of objects less than ten and more than two.		N/a
2560	severe (about pain)	severe (about pain)			Evaluation
2561	severe, harsh	severe, harsh	None		Non-physical
2562	sexual partner	sexual partner			N/a
2563	sexually attractive	sexually attractive			N/a
2564	sexually transmitted disease	sexually transmitted disease			N/a
2565	shadberry	shadberry			Plants
2566	shade	shade			N/a
2567	shadow	shadow			Natural objects
2568	shadow	shadow			Natural objects
2569	shadow side	shadow side	a side of an object (e.g. mountain) which is protected from the sunlight.		N/a
2570	shadow theatre	shadow theatre			Artifacts
2571	shahada	shahada			N/a
2572	shallow	shallow			Size
2573	shaman	shaman			N/a
2574	shaman hand drum	shaman hand drum			N/a
2575	shame	shame			Abstract entities
2576	shape, form	shape, form			N/a
2577	shapeless	shapeless			Other physical
2578	share; stock	share; stock			Artifacts
2579	shark	shark			Animals
2580	sharp	sharp			Tactile quality
2581	sharp point	sharp point			Artifacts
2582	sharpshooter	sharpshooter	person trained to shoot precisely with a rifle		Non-physical
2583	sheaf	sheaf			Artifacts
2584	sheath	sheath			Artifacts
2585	sheep	sheep			Animals
2586	sheet of paper	sheet of paper			Artifacts
2587	shell (of an egg)	shell (of an egg)			N/a
2588	shell (of mollusc)	shell (of mollusc)	None		Animals
2589	shepherd	shepherd			N/a
2590	shepherd's pipe (musical instrument)	shepherd&#39;s pipe (musical instrument)			N/a
2591	Shevat	Shevat	fifth month of the civil year and the eleventh month of the ecclesiastical year in the Jewish calendar, after Tevet and before Adar		N/a
2592	shield	shield			Artifacts
2593	shin	shin	part of the leg below the knee		N/a
2594	shinbone	shinbone			N/a
2595	shine (n.)	shine (n.)			Abstract entities
2596	ship's bells	ship&#39;s bells	the strokes on a ship&#39;s bell, every half hour, to mark the passage of time. In each of the day&#39;s six watches of four hours, one bell marks the end of the first half hour, eight bells marks the end of the watch		N/a
2597	ship, vessel	ship, vessel			Artifacts
2598	shirt	shirt			N/a
2599	shive	shive	splinter or fragment of the woody core of flax or hemp broken off in braking or scutching		N/a
2600	shoal	shoal			Natural objects
2601	shoehorn	shoehorn	smooth tool that assists in putting the foot into a shoe		Abstract entities
2602	shoes' soles	shoes&#39; soles			N/a
2603	shooter	shooter			N/a
2604	shooting target	shooting target	object in various forms and shapes that are used for pistol, rifle, shotgun and other shooting sports, as well as in darts, target archery, crossbow shooting and other sports		N/a
2605	shop	shop			Artifacts
2606	short (size)	short (size)			Size
2607	short person	short person			N/a
2608	short, brief	short, brief			Size
2609	shortly	shortly			Time
2610	should, ought to	should, ought to	None		N/a
2611	shoulder	shoulder			Body parts
2612	shoulder pole	shoulder pole	a yoke of wood or bamboo, used by people to carry a load		N/a
2613	shoulder-blade, scapula	shoulder-blade, scapula			Body parts
2614	shout, scream	shout, scream			Abstract entities
2615	shower head	shower head			N/a
2616	shrike	shrike	bird Lanius sp.		N/a
2617	shrimp, prawn	shrimp, prawn			Animals
2618	shuttle (in a sewing machine)	shuttle (in a sewing machine)			N/a
2619	shuttle (weaving instrument)	shuttle (weaving instrument)			Artifacts
2620	shy	shy			N/a
2621	Siberian cedar (kedar)	Siberian cedar (kedar)			Plants
2622	Siberian flying squirrel	Siberian flying squirrel	Pteromys volans		Animals
2623	siberian jay	siberian jay	Perisoreus infaustus		N/a
2624	Siberian weasel (Mustela sibirica)	Siberian weasel (Mustela sibirica)			Animals
2625	sibling	sibling			N/a
2626	sibling of opposite sex	sibling of opposite sex	brother for woman, sister for man		N/a
2627	sick, ill	sick, ill	unhealthy		Other physical
2628	sickle	sickle			N/a
2629	side (n.)	side (n.)			Space
2630	side of a coin	side of a coin	None		N/a
2631	siege engine	siege engine			N/a
2632	sieve (n.)	sieve (n.)			Artifacts
2633	sigh	sigh			N/a
2634	sign, designation	sign, designation			Abstract entities
2635	sign, omen	sign, omen			Natural objects
2636	signature	signature	person&#39;s name, written by that person, used as identification or to signify approval of accompanying material, such as a legal contract		N/a
2637	silence	silence			N/a
2638	silent	silent			N/a
2639	silver	silver			Natural objects
2640	simple	simple			Non-physical
2641	simultaneously	simultaneously			N/a
2642	sin	sin			Abstract entities
2643	since	since			N/a
2644	single-eyed	single-eyed			Other physical
2645	sink (basin for holding water for washing)	sink (basin for holding water for washing)			N/a
2646	sinus (math.)	sinus (math.)			Abstract entities
2647	sir	sir			N/a
2648	siskin	siskin	bird Spinus spinus		Human being
2649	sister	sister			N/a
2650	sister's husband	sister&#39;s husband			N/a
2651	sister-in-law	sister-in-law			N/a
2652	sixth	sixth	ordinal form of the number six		N/a
2653	sizing tool	sizing tool			Artifacts
2654	skeleton	skeleton			N/a
2655	skilful, dexterous	skilful, dexterous			Non-physical
2656	skill	skill			Abstract entities
2657	skilled artisan	skilled artisan			N/a
2658	skin (of a person)	skin (of a person)			Body parts
2659	skin (of an animal)	skin (of an animal)			Body parts
2660	skirt	skirt			Artifacts
2661	skull	skull			Body parts
2662	skull	skull			Body parts
2663	skunk	skunk	any of various small mammals, of the family Mephitidae, native to North and Central America, having a glossy black with a white coat and two musk glands at the base of the tail for emitting a noxious smell as a defensive measure		N/a
2664	sky	sky			Natural objects
2665	slag, scoria	slag, scoria			N/a
2666	slander	slander			Abstract entities
2667	slattern	slattern			Human being
2668	slaughter	slaughter	killing of animals for meat		N/a
2669	slave	slave			Human being
2670	sleeping	sleeping			N/a
2671	sleeve	sleeve	part of a garment covering the arm		Artifacts
